spurentunnel_nummer,typ,distance,X,Y,pos
313,Asthaufen,761.512475275356,8.682855443300706,47.21555899380297,47.215558993803 8.68285544330071
232,Asthaufen,966.595184138634,8.663767444105844,47.2240532357464,47.2240532357464 8.66376744410584
273,Asthaufen,1039.93281032959,8.661789932728675,47.22303974553756,47.2230397455376 8.66178993272868
265,Asthaufen,1491.15469934685,8.692815730842401,47.21466880065556,47.2146688006556 8.6928157308424
304,Asthaufen (doppelt),1573.48862404549,8.653488682549131,47.218122389605156,47.2181223896052 8.65348868254913
323,Asthaufen,1614.71989025714,8.657151008612086,47.227767069453854,47.2277670694539 8.65715100861209
15944,Asthaufen,1847.51313268183,8.65633281200268,47.20776231705358,47.2077623170536 8.65633281200268
223,Asthaufen,1910.40473460469,8.655884669453194,47.20726081326528,47.2072608132653 8.65588466945319
133,Asthaufen,1983.84708332069,8.650666148466057,47.22687257574562,47.2268725757456 8.65066614846606
122,Asthaufen (doppelt),2015.7302026809,8.647613260631156,47.21859262725733,47.2185926272573 8.64761326063116
220,Asthaufen,2036.87045488907,8.654406043726318,47.20667372069872,47.2066737206987 8.65440604372632
231,Asthaufen,2105.515827559,8.684208659333565,47.20138947308497,47.201389473085 8.68420865933357
210,Asthaufen,2320.86260903139,8.644334774304475,47.22368258539974,47.2236825853997 8.64433477430448
183,Asthaufen,2366.31829008694,8.645838507271556,47.21016426054989,47.2101642605499 8.64583850727156
329,Asthaufen,2387.68847423612,8.648478789679107,47.206664191701655,47.2066641917017 8.64847878967911
168,Asthaufen,2457.52258382298,8.642736922302467,47.21371406535616,47.2137140653562 8.64273692230247
242,Asthaufen,3443.64868272012,8.643062060981755,47.24162428506107,47.2416242850611 8.64306206098176
12745,Asthaufen,3546.11485249464,8.654078955331702,47.19026839408645,47.1902683940865 8.6540789553317
126,Asthaufen,3624.80182216904,8.63100974444581,47.233086845058665,47.2330868450587 8.63100974444581
147,Asthaufen,4132.75806816707,8.629899563301274,47.240753623774076,47.2407536237741 8.62989956330127
235,Asthaufen,4178.09540939409,8.663560717313164,47.18218906976275,47.1821890697627 8.66356071731316
310,Asthaufen,4246.94070596704,8.619514106868262,47.22745614903528,47.2274561490353 8.61951410686826
325,Asthaufen,4324.04986326483,8.618426898009453,47.2273188621286,47.2273188621286 8.61842689800945
312,Asthaufen,4361.16438121757,8.618411876136786,47.22873223174755,47.2287322317475 8.61841187613679
18,Asthaufen,4667.28413282275,8.666816145461352,47.177384679302904,47.1773846793029 8.66681614546135
54,Asthaufen,5191.81723965704,8.623175220174442,47.25024136157309,47.2502413615731 8.62317522017444
23,Asthaufen (doppelt),5412.48780599088,8.615381974830132,47.24670498237114,47.2467049823711 8.61538197483013
24,Steinhaufen,5463.29490783721,8.614630342628603,47.246766629651944,47.2467666296519 8.6146303426286
17548,Asthaufen,12275.7436793826,8.548482180561475,47.28879624502505,47.288796245025 8.54848218056148
17546,Asthaufen,12523.3916006101,8.548287720131382,47.29212009513874,47.2921200951387 8.54828772013138
17544,Asthaufen,12719.2900730307,8.547039151763753,47.29383697289266,47.2938369728927 8.54703915176375
17150,Asthaufen,13398.1252425993,8.5401022706945,47.297713670628845,47.2977136706288 8.5401022706945
17148,Asthaufen,13614.9145763932,8.538837348824782,47.299698046017404,47.2996980460174 8.53883734882478
18346,Asthaufen,13749.8515410044,8.540049863457009,47.302445450960924,47.3024454509609 8.54004986345701
320,Asthaufen,14316.1074391749,8.54050815619617,47.3101476706746,47.3101476706746 8.54050815619617
15564,Asthaufen,14598.5083681795,8.544173650836292,47.316046694098574,47.3160466940986 8.54417365083629
15554,Asthaufen,15404.044468538,8.537506275025926,47.321717379619436,47.3217173796194 8.53750627502593
15546,Asthaufen,15549.0666348407,8.53696583476911,47.32314331332214,47.3231433133221 8.53696583476911
15549,Asthaufen,15730.2197729724,8.536969844553562,47.32532672971651,47.3253267297165 8.53696984455356
